org1,org2,org3,org4,org5,org6,branch,fiscal_year,depth,amount_usd,prior_secondary_usd,prior_tertiary_usd,snapshot_date,source_url
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN ACCOUNTANT,TRANSFERS IN,TRANSFER FROM SEWER FUND,TRANSFER FROM SEWER FUND,revenue,FY2026,6,119818.0,119818.0,119818.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,CP GRANT-COMPREHENSIVE PLAN,COMMUNITY DEVELOP AND PLANNING,STATE GRANTS,STATE REVENUE,STATE REVENUE,revenue,FY2026,6,119279.08,10720.92,119279.08,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,STATE 911 SUPPORT GRANT,POLICE,STATE GRANTS,STATE REVENUE,STATE REVENUE - 2026 GRANT,revenue,FY2026,6,114600.0,0,114600.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,RENTALS,BOATYARD RENT,BOATYARD RENT,revenue,FY2026,6,98000.0,94460.5,98000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,CEMETERY,CHRG SVC OTHER,CEMETERY BURIAL & MAINT CHG,CEMETERY BURIAL & MAINT CHG,revenue,FY2026,6,80000.0,52900.0,80000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,WASTE COLLECTION,CHRG SVC OTHER,OTHER WASTE,TRANSFER STA-OTHER WASTE,revenue,FY2026,6,65000.0,630.85,65000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,CHRG SVC OTHER,FACILITY STICKERS,T/C-FACILITY STICKERS,revenue,FY2026,6,60000.0,150.0,60000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,CHRG SVC OTHER,TUCKERS DOCKAGE CHARGE,TUCKERS DOCKAGE CHARGE,revenue,FY2026,6,60000.0,66308.78,60000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TREASURER/COLLECTOR,STATE REV-CHERRY,CSI VETERANS BENEFITS CH115 S6,CSI VETERANS BENEFITS CH115 S6,revenue,FY2026,6,58780.0,32799.0,58780.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,PARKS & RECREATION,CHRG SVC OTHER,PARKING CHGS (DAILY),R&P-PARKING CHGS (DAILY),revenue,FY2026,6,45000.0,44539.26,45000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN CLERK,LICENSES AND PERMITS,DOG LICENSE,CLK-DOG LICENSE,revenue,FY2026,6,45000.0,54655.0,45000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,PARKING CLERK,FINES AND FORFEITS,PARKNG FINES,PARKNG FINES,revenue,FY2026,6,44000.0,35966.0,44000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,HARBOR ENTERPRISE OPERATING,HARBOR,MISC RECURRING,WAITING LIST CHARGE,WAITING LIST CHARGE,revenue,FY2026,6,43000.0,51918.0,43000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,SELECT BOARD,RENTALS,PARK RENT,SEL-PARK RENT,revenue,FY2026,6,40000.0,28494.53,40000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,PARKS & RECREATION,CHRG SVC OTHER,PRAM RACK CHG,R&P-PRAM RACK CHG,revenue,FY2026,6,40000.0,490.0,40000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,FINANCE,MEDICAID REIMB,MEDICARE REIMBURSEMENT,MEDICARE REIMBURSEMENT,revenue,FY2026,6,40000.0,39435.08,40000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
BUDGETED ANNUAL FUNDS,GENERAL FUND - TOWN,TOWN ACCOUNTANT,TRANSFERS IN,TRANSFER FROM SPEC REV FUND,TRANSFER FROM SPEC REV FUND,revenue,FY2026,6,38917.0,111990.75,0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,111F INJURY LEAVE FUND,WORKERS COMPENSATION,TRANSFERS IN,TRANSFER FROM GENERAL FUND,TRANSFER FROM GENERAL FUND,revenue,FY2026,6,38000.0,38000.0,38000.0,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
OTHER FUNDS,STATE 911 TRAINING GRANT,POLICE,STATE GRANTS,STATE REVENUE,STATE REVENUE-2026 GRANT,revenue,FY2026,6,33695.48,0,33695.48,2026-06-10,https://townofmarblehead-ma-ob.budget.socrata.com/#!/year/2026
