org1,org2,org3,org4,org5,org6,fiscal_year,depth,amount_usd,snapshot_date,source_url
PUBLIC SAFETY,POLICE,ATM25A8-POL-FLOOR REPLCE,CAPITAL,PUBLIC SAFETY,PUBLIC SAFETY,FY2026,6,14234.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,SEWER,EXPENSES,CAPITAL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,14068.22,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,UNDEFINED,OTHER EXPENSE,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,13084.86,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,CEMETERY,EXPENSES,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,13068.52,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,FINANCE,EXPENSES,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,12698.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,VILLAGE SCHOOL,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,12036.5,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,ART 30 2024 CAPITAL TRANSFERS,CONTRACTED SERVICES,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,10701.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,CEMETERY,EXPENSES,SUPPLIES AND MATL,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,10365.1,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,PUBLIC BUILDINGS,EXPENSES,SUPPLIES AND MATL,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,10062.4,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
GENERAL GOVERNMENT,SELECT BOARD,EXPENSES,OTHER EXPENSE,GENERAL GOVERNMENT,GENERAL GOVERNMENT,FY2026,6,9922.83,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
EDUCATION,MIDDLE SCHOOL,UNDEFINED,OTHER EXPENSE,EDUCATION,EDUCATION,FY2026,6,9839.96,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
HEALTH & HUMAN SERVICES,COUNCIL ON AGING,EXPENSES,OTHER EXPENSE,HEALTH & HUMAN SERVICES,HEALTH & HUMAN SERVICES,FY2026,6,9645.67,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,ABBOT LIBRARY,UNDEFINED,OTHER EXPENSE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,9485.21,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
CULTURE & RECREATION,HARBOR,EXPENSES,OTHER EXPENSE,CULTURE & RECREATION,CULTURE & RECREATION,FY2026,6,9474.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
PUBLIC WORKS,WATER,UNDEFINED,CONTRACTED SERVICES,PUBLIC WORKS,PUBLIC WORKS,FY2026,6,9335.0,2026-06-11,https://townofmarblehead-ma-oe.spending.socrata.com/#!/year/2026
