dor_code,municipality,fiscal_year,general_government,public_safety,education,public_works,human_services,culture_recreation,fixed_costs,intergov_assessments,other,debt_service,total_expenditures
100,Framingham,2014,"8,528,780","25,940,977","110,656,195","11,810,376","1,509,427","5,921,965","49,903,168","5,446,199","54,160","10,865,085","230,636,332"
131,Hingham,2014,"4,079,886","11,345,132","41,600,328","5,806,908","892,874","1,600,385","12,335,345","159,467","5,141","6,874,711","84,700,177"
155,Lexington,2014,"14,922,807","12,166,122","81,142,967","7,581,925","1,365,885","3,189,115","26,810,873","795,309","70,398","12,272,910","160,318,311"
168,Marblehead,2014,"2,122,918","6,943,934","31,234,152","4,589,794","512,026","1,845,097","12,869,803","2,672,504",0,"4,742,971","67,533,199"
178,Melrose,2014,"2,930,345","7,710,711","27,125,716","8,103,103","1,456,347","1,647,168","17,164,696","3,096,151","256,034","5,130,399","74,620,670"
198,Natick,2014,"10,416,983","14,561,585","50,486,588","6,743,382","1,338,236","2,698,964","21,011,720","1,420,072",0,"10,777,144","119,454,674"
199,Needham,2014,"6,653,736","14,197,312","59,311,038","4,628,178","1,105,213","1,944,204","21,434,890","1,270,948",0,"10,579,550","121,125,069"
284,Stoneham,2014,"1,934,391","6,770,110","25,480,178","3,335,696","447,366","1,580,322","13,140,739","1,655,935","36,083","4,767,205","59,148,025"
291,Swampscott,2014,"2,217,569","6,969,798","25,591,358","1,192,583","1,425,293","681,616","9,357,268","550,919",0,"5,297,674","53,284,078"
317,Wellesley,2014,"11,385,957","10,818,790","60,116,705","8,395,507","1,150,725","2,670,307","20,841,498","1,139,836","16,632","12,579,137","129,115,094"
344,Winchester,2014,"6,388,750","8,211,383","39,750,513","6,967,056","539,104","1,679,775","14,932,091","512,225","128,949","7,209,394","86,319,240"
010,Arlington,2013,"4,771,865","14,170,676","48,772,560","8,126,357","865,275","2,919,686","22,303,483","3,060,174","276,981","10,020,266","115,287,323"
046,Brookline,2013,"9,818,063","28,793,603","83,991,890","11,529,565","2,101,592","6,679,258","45,542,506","6,105,553",0,"16,549,607","211,111,637"
065,Cohasset,2013,"2,279,034","4,565,270","16,073,711","2,157,427","475,274","651,656","5,143,966","922,630",0,"4,225,723","36,494,691"
082,Duxbury,2013,"2,953,116","7,693,657","30,289,680","3,173,543","670,534","1,844,291","9,544,919","296,362","278,709","2,073,154","58,817,965"
