dor_code,municipality,fiscal_year,taxes,service_charges,licenses_permits,federal_revenue,state_revenue,other_govt_revenue,special_assessments,fines,miscellaneous,other_financing,transfers,total_revenues
284,Stoneham,2017,"52,045,126","1,280,049","1,116,110",0,"9,210,279","29,079",0,"28,529","26,216",0,"1,946,363","65,681,751"
291,Swampscott,2017,"51,021,221","721,957","426,919",0,"4,808,206","1,356,036",0,"81,001","450,434",0,"821,147","59,686,921"
317,Wellesley,2017,"138,210,628","1,316,783","2,426,546",0,"9,521,544",0,0,"467,378","854,217",0,"1,845,892","154,642,988"
344,Winchester,2017,"89,004,346","2,817,455","1,700,268","71,643","10,091,613",0,"1,675","33,536","1,135,081",0,"6,643,362","111,498,979"
010,Arlington,2016,"113,574,375","749,189","3,330,321",0,"21,087,346","30,248","2,897","384,233","149,486","4,117,947","265,369","143,691,411"
046,Brookline,2016,"205,043,862","5,378,782","5,698,091",0,"19,056,933",0,0,"4,146,003","1,845,272","1,362,097","6,896,145","249,427,185"
065,Cohasset,2016,"36,709,791","1,137,623","852,839","1,881","3,739,785","6,160","400,428","29,559","112,963","52,401","592,453","43,635,883"
082,Duxbury,2016,"59,535,310","2,595,184","2,770,322","156,277","5,883,681",0,0,"54,821","191,094","20,964","448,820","71,656,473"
100,Framingham,2016,"189,316,343","2,660,756","3,039,843","2,046,611","50,718,756","93,149",0,"321,202","2,720,398","7,606,358","5,777,637","264,301,053"
131,Hingham,2016,"83,340,404","1,829,760","1,377,363",0,"10,191,681",0,"298,341","75,417","426,762","660,688","1,043,014","99,243,430"
155,Lexington,2016,"170,101,129","2,640,853","2,578,503",0,"12,048,375","30,613","27,645","243,957","1,440,025",0,"4,792,236","193,903,336"
168,Marblehead,2016,"64,924,113","702,252","793,816","309,926","6,899,372","13,872",0,"122,335","291,020",0,"1,186,553","75,243,259"
178,Melrose,2016,"57,868,919","281,382","4,068,243",0,"13,960,414",0,"7,642","145,278","37,070",0,"5,528,608","81,897,556"
198,Natick,2016,"108,262,406","3,144,920","2,218,015",0,"12,838,065","71,625","11,277","163,476","1,044,426",0,"4,592,360","132,346,570"
199,Needham,2016,"127,019,888","2,060,253","2,314,222",0,"10,730,727","56,593","1,367","129,924","466,124",0,"2,211,732","144,990,830"
284,Stoneham,2016,"49,745,956","1,459,281","1,472,194",0,"8,733,388","32,521",0,"34,280","37,411",0,"1,560,522","63,075,553"
291,Swampscott,2016,"50,392,940","703,448","729,778",0,"4,533,864","1,266,770",0,"74,405","308,647",0,"820,000","58,829,852"
317,Wellesley,2016,"134,031,206","856,010","2,711,607","123,585","9,149,423",0,0,"567,584","797,833",0,"3,654,039","151,891,287"
344,Winchester,2016,"80,824,131","2,891,435","1,902,257","13,019","9,798,433",0,"1,704","35,150","4,736,685",0,"6,425,361","106,628,175"
010,Arlington,2015,"110,936,210","757,788","2,714,518",0,"20,446,362","31,590","4,352","421,179","96,345","910,686","2,136,558","138,455,588"
046,Brookline,2015,"191,534,303","5,208,131","4,026,110",0,"17,557,145","1,888",0,"4,086,866","1,657,682","211,939","6,992,764","231,276,828"
065,Cohasset,2015,"34,773,289","1,155,509","652,505",0,"3,708,545","5,840","403,782","30,683","173,268",0,"868,702","41,772,123"
082,Duxbury,2015,"57,009,155","2,688,682","2,425,941","52,805","5,883,742",0,0,"55,712","568,325","23,150","427,344","69,134,856"
100,Framingham,2015,"183,497,393","2,393,455","3,296,491","1,931,587","46,783,726","138,518",0,"349,925","2,666,885","5,965,757","2,994,760","250,018,497"
131,Hingham,2015,"79,606,743","1,341,995","1,219,031",0,"10,003,298",0,"239,386","74,726","229,384","3,662,514","1,150,150","97,527,227"
155,Lexington,2015,"163,021,897","2,572,919","1,836,143",0,"11,735,495","3,328","43,110","281,027","925,095",0,"4,073,787","184,492,801"
